ResponseId,ConvertedCompYearly,DevType,LanguageHaveWorkedWith,LanguageWantToWorkWith,YearsCode,Country,EdLevel,Employment,RemoteWork,OrgSize,Age
4755,68071.0,"Developer, back-end",Go;JavaScript;PHP;Python;SQL;TypeScript,,14.0,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Remote,Less than 20 employees,25-34 years old
24946,146750.0,"Architect, software or solutions",Bash/Shell (all shells);C#;PowerShell;SQL,C#;Go;PowerShell;Zig,40.0,Sweden,Some college/university study without earning a degree,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",500 to 999 employees,45-54 years old
44689,51046.0,"Developer, AI apps or physical AI",Assembly;Bash/Shell (all shells);C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;MATLAB;MicroPython;Perl;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;Visual Basic (.Net);Mojo,Ada;COBOL;Dart;Delphi;Elixir;Erlang;F#;Fortran;GDScript;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;MicroPython;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zig;Mojo;Gleam,11.0,Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Not employed,,,25-34 years old
29029,154000.0,"Developer, back-end",Bash/Shell (all shells);C++;Go;Java;Lua;Python;Rust;SQL;Swift,Bash/Shell (all shells);Lua;Python;Swift,17.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees",25-34 years old
35785,205000.0,"Developer, full-stack",Groovy;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,HTML/CSS;JavaScript;TypeScript,12.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,"10,000 or more employees",35-44 years old
10592,140000.0,"Developer, desktop or enterprise applications",Bash/Shell (all shells);C#;Python;VBA;Visual Basic (.Net),,30.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,In-person,"1,000 to 4,999 employees",35-44 years old
3989,125250.0,"Developer, full-stack",Go;HTML/CSS;JavaScript;SQL;TypeScript;Gleam,Elixir;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript;Gleam,25.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Your choice (very flexible, you can come in when you want or just as needed)","1,000 to 4,999 employees",35-44 years old
6216,52207.0,System administrator,HTML/CSS;JavaScript;PowerShell;Python;R,HTML/CSS;JavaScript;PowerShell;Python;R,40.0,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",55-64 years old
27269,144000.0,"Developer, back-end",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;SQL,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;SQL,27.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Your choice (very flexible, you can come in when you want or just as needed)","1,000 to 4,999 employees",35-44 years old
47122,122527.0,"Developer, full-stack",Bash/Shell (all shells);Ruby;SQL,,12.0,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)",Less than 20 employees,55-64 years old
7037,18330.0,"Architect, software or solutions",Python,Go;Groovy;Java;MicroPython,9.0,Tunisia,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,25-34 years old
28414,26363.0,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP,TypeScript,13.0,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Remote,100 to 499 employees,35-44 years old
40685,81210.0,"Developer, full-stack",,,5.0,Serbia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,100 to 499 employees,35-44 years old
9781,39465.0,"Developer, embedded applications or devices",Bash/Shell (all shells);C;C#;Groovy;HTML/CSS;PowerShell;Python;Rust,Assembly;Bash/Shell (all shells);C;C#;Rust;Zig;Mojo,12.0,South Africa,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,25-34 years old
42713,204212.0,Engineering manager,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,,35.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,500 to 999 employees,45-54 years old
21106,44000.0,Student,Assembly;Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL,13.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,25-34 years old
18507,196000.0,"Developer, full-stack",JavaScript;Ruby;SQL,Elixir;JavaScript;Ruby;SQL;Swift,14.0,United States of America,Some college/university study without earning a degree,Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",35-44 years old
3159,97514.0,Financial analyst or engineer,Bash/Shell (all shells);C++;Python;R;SQL;VBA,Bash/Shell (all shells);C++;Python;R;SQL,13.0,Australia,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)","10,000 or more employees",25-34 years old
45270,310000.0,"Developer, back-end",Bash/Shell (all shells);Java;JavaScript;Python;SQL,Go;Kotlin,30.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,"10,000 or more employees",45-54 years old
33640,10620.0,"Developer, back-end",Bash/Shell (all shells);C#;Java;Python;SQL,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Python;SQL,15.0,Iceland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,In-person,Less than 20 employees,35-44 years old
3388,55364.0,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,25.0,South Africa,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,100 to 499 employees,45-54 years old
1547,71134.0,"Developer, front-end",C#;HTML/CSS;JavaScript;Rust;SQL;TypeScript,C#;Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript,13.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,25-34 years old
11696,93972.0,Data scientist,Python;SQL,,19.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)",500 to 999 employees,35-44 years old
36284,111374.0,"Senior executive (C-suite, VP, etc.)",C#;F#;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;Swift;TypeScript,,23.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Remote,Less than 20 employees,35-44 years old
5476,13859.0,"Developer, full-stack",Bash/Shell (all shells);C;C#;C++;Dart;Fortran;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;SQL;Swift;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;R;Ruby;Rust;SQL;Swift;TypeScript,6.0,Rwanda,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",,,18-24 years old
41460,186000.0,"Developer, back-end",Elixir;Erlang;HTML/CSS;Rust,Elixir;HTML/CSS,26.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,20 to 99 employees,35-44 years old
48957,64476.0,Other (please specify):,Bash/Shell (all shells);HTML/CSS;JavaScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,36.0,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,In-person,Less than 20 employees,45-54 years old
5230,114000.0,"Developer, QA or test",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;TypeScript,JavaScript;TypeScript,15.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,100 to 499 employees,25-34 years old
26824,87011.0,"Developer, embedded applications or devices",Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);C;HTML/CSS;Lua;Python;Rust,16.0,Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Your choice (very flexible, you can come in when you want or just as needed)",20 to 99 employees,25-34 years old
34990,81210.0,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Go;Kotlin;Rust,15.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,Remote,Less than 20 employees,35-44 years old
2797,157243.0,"Developer, back-end",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Lua;Python;Rust;TypeScript;Zig,33.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,"1,000 to 4,999 employees",45-54 years old
17353,63713.0,Engineering manager,Bash/Shell (all shells);C;C++;Python,Bash/Shell (all shells);C;C++;Go;Python;Zig,30.0,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees",45-54 years old
904,136000.0,"Developer, desktop or enterprise applications",C;C++;Python;SQL,Assembly;C;C++;Python;SQL,31.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,In-person,500 to 999 employees,35-44 years old
1176,29146.0,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);C;HTML/CSS;Lisp;Python;Rust;SQL;TypeScript;Zig;Gleam,11.0,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)","5,000 to 9,999 employees",25-34 years old
29700,84691.0,"Developer, full-stack",JavaScript;TypeScript,C++;Kotlin;Swift,13.0,Croatia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",,,35-44 years old
41764,76328.0,"Developer, back-end",,,21.0,South Africa,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,20 to 99 employees,35-44 years old
28983,145000.0,"Architect, software or solutions",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,42.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)",500 to 999 employees,65 years or older
668,56499.0,"Developer, back-end",Bash/Shell (all shells);C#;C++;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,16.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,25-34 years old
35378,20923.0,"Developer, full-stack",Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,,25.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed","Your choice (very flexible, you can come in when you want or just as needed)","Just me - I am a freelancer, sole proprietor, etc.",45-54 years old
43719,27949.0,"Developer, full-stack",C++;HTML/CSS;JavaScript;MATLAB;Python;TypeScript,C++;HTML/CSS;JavaScript;Python;TypeScript,4.0,Turkey,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,In-person,"5,000 to 9,999 employees",25-34 years old
46350,31324.0,"Developer, full-stack",Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,47.0,Italy,Other (please specify):,Retired,,,55-64 years old
42859,54580.0,"Developer, mobile",Bash/Shell (all shells);C++;Groovy;Java;JavaScript;Kotlin;SQL;Swift;TypeScript,,19.0,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,100 to 499 employees,25-34 years old
43437,67464.0,"Developer, back-end",Bash/Shell (all shells);Go;Python,Go,7.0,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)",500 to 999 employees,25-34 years old
43481,180000.0,AI/ML engineer,Bash/Shell (all shells);JavaScript;Lua;Python;Rust;SQL,Bash/Shell (all shells);Python,18.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,25-34 years old
39917,78011.0,"Developer, desktop or enterprise applications",JavaScript;OCaml;Rust;TypeScript,OCaml;Rust;Gleam,16.0,Australia,Some college/university study without earning a degree,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",Less than 20 employees,25-34 years old
4701,150000.0,"Developer, full-stack",HTML/CSS;JavaScript;PHP;Python;R,HTML/CSS;JavaScript;PHP;Python;R,24.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,100 to 499 employees,45-54 years old
4859,167061.0,"Architect, software or solutions",Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Python;TypeScript,Elixir;Erlang;Gleam,26.0,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",,,35-44 years old
3052,58367.0,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL,,15.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",,,35-44 years old
